1 2 3 4 6 3K 4K FH SS LS C Y UP35,24566,1,[5]
1 2 3 4 6 3K 4K FH SS LS C Y UP35,11256,0,5
UP0,14556,2,[55]
UP0,45566,1,[66]
UP0,14466,0,C
1 UP1,22336,2,[33]
1 UP1,11333,1,[11333]
1 UP1,33355,0,FH
1 FH UP1,13346,2,[33]
1 FH UP1,13446,1,[44]
1 FH UP1,12334,0,SS
1 FH SS UP1,22234,2,[222]
1 FH SS UP1,24566,1,[66]
1 FH SS UP1,22345,0,2
1 2 FH SS UP5,12356,2,[2356]
1 2 FH SS UP5,13356,1,[33]
1 2 FH SS UP5,23356,0,3
1 2 3 FH SS UP11,11256,2,[5]
1 2 3 FH SS UP11,11146,1,[46]
1 2 3 FH SS UP11,11136,0,3K
1 2 3 3K FH SS UP11,12356,2,[2356]
1 2 3 3K FH SS UP11,13356,1,[56]
1 2 3 3K FH SS UP11,12556,0,5
1 2 3 5 3K FH SS UP21,11456,2,[45]
1 2 3 5 3K FH SS UP21,33456,1,[3456]
1 2 3 5 3K FH SS UP21,22456,0,C
1 2 3 5 3K FH SS C UP21,11233,2,[]
1 2 3 5 3K FH SS C UP21,12356,1,[2356]
1 2 3 5 3K FH SS C UP21,12356,0,Y
1 2 3 5 3K 4K FH SS C UP21,33455,2,[345]
1 2 3 5 3K 4K FH SS C UP21,13455,1,[1345]
1 2 3 5 3K 4K FH SS C UP21,13456,0,Y
1 2 3 4 5 3K 4K FH SS C UP25,11334,2,[34]
1 2 3 4 5 3K 4K FH SS C UP25,11234,1,[1234]
1 2 3 4 5 3K 4K FH SS C UP25,13666,0,6
1 2 3 4 5 6 3K 4K FH SS C UP43,12455,2,[1245]
1 2 3 4 5 6 3K 4K FH SS C UP43,15566,1,[5]
1 2 3 4 5 6 3K 4K FH SS C UP43,24566,0,Y
1 2 3 4 5 6 3K 4K FH SS C Y UP43,13455,2,[1345]
1 2 3 4 5 6 3K 4K FH SS C Y UP43,11345,1,[1345]
1 2 3 4 5 6 3K 4K FH SS C Y UP43,11345,0,LS
UP0,12345,2,[12345]
UP0,12345,1,[12345]
UP0,12345,0,LS
LS UP0,33556,2,[55]
LS UP0,33455,1,[55]
LS UP0,12255,0,2
1 LS UP1,11136,2,[111]
1 LS UP1,13456,1,[13456]
1 LS UP1,33456,0,SS
1 SS LS UP1,33355,2,[333]
1 SS LS UP1,23566,1,[66]
1 SS LS UP1,13666,0,6
1 3K SS LS UP1,11233,2,[33]
1 3K SS LS UP1,23335,1,[333]
1 3K SS LS UP1,23336,0,3
1 3 3K SS LS UP10,11346,2,[6]
1 3 3K SS LS UP10,12336,1,[6]
1 3 3K SS LS UP10,23345,0,C
1 2 3 3K SS LS UP12,12336,2,[6]
1 2 3 3K SS LS UP12,23336,1,[333]
1 2 3 3K SS LS UP12,22333,0,FH
1 2 3 3K FH SS LS UP12,12366,2,[66]
1 2 3 3K FH SS LS UP12,11344,1,[44]
1 2 3 3K FH SS LS UP12,33445,0,4
1 2 3 4 3K FH SS LS UP20,11245,2,[5]
1 2 3 4 3K FH SS LS UP20,13345,1,[5]
1 2 3 4 3K FH SS LS UP20,13334,0,Y
1 2 3 4 3K 4K FH SS LS UP20,12344,2,[]
1 2 3 4 3K 4K FH SS LS UP20,12234,1,[]
1 2 3 4 3K 4K FH SS LS UP20,24566,0,C
1 2 3 4 3K 4K FH SS LS C UP20,11235,2,[5]
1 2 3 4 3K 4K FH SS LS C UP20,12456,1,[5]
1 2 3 4 3K 4K FH SS LS C UP20,23446,0,Y
1 2 3 4 3K 4K FH SS LS C Y UP20,13336,2,[6]
1 2 3 4 3K 4K FH SS LS C Y UP20,22346,1,[6]
1 2 3 4 3K 4K FH SS LS C Y UP20,12345,0,5
1 2 3 4 5 3K 4K FH SS LS C Y UP25,13555,2,[]
1 2 3 4 5 3K 4K FH SS LS C Y UP25,23555,1,[]
1 2 3 4 5 3K 4K FH SS LS C Y UP25,23445,0,6
UP0,12356,2,[5]
UP0,34556,1,[3456]
UP0,44556,0,C
C UP0,15556,2,[555]
C UP0,11344,1,[44]
C UP0,11255,0,1
1 C UP2,33446,2,[44]
1 C UP2,12236,1,[22]
1 C UP2,12346,0,SS
1 SS C UP2,14666,2,[666]
1 SS C UP2,33445,1,[44]
1 SS C UP2,33444,0,FH
1 FH SS C UP2,12456,2,[245]
1 FH SS C UP2,11566,1,[66]
1 FH SS C UP2,24566,0,2
1 2 FH SS C UP4,12346,2,[2346]
1 2 FH SS C UP4,13446,1,[44]
1 2 FH SS C UP4,24445,0,4
1 2 4 FH SS C UP16,33346,2,[333]
